year,state,month,number,day
2014,Bahia,1,132,1
2015,Bahia,1,256,1
2016,Bahia,1,285,1
2017,Bahia,1,154,1
1998,Bahia,2,0,1
1999,Bahia,2,157,1
2000,Bahia,2,32,1
2001,Bahia,2,101,1
2002,Bahia,2,204,1
2003,Bahia,2,223,1
2004,Bahia,2,122,1
2005,Bahia,2,143,1
2006,Bahia,2,277,1
2007,Bahia,2,113,1
2008,Bahia,2,235,1
2009,Bahia,2,117,1
2010,Bahia,2,206,1
2011,Bahia,2,156,1
2012,Bahia,2,200,1
2013,Bahia,2,231,1
2014,Bahia,2,107,1
2015,Bahia,2,143,1
2016,Bahia,2,418,1
2017,Bahia,2,100,1
1998,Bahia,3,0,1
1999,Bahia,3,83,1
2000,Bahia,3,65,1
2001,Bahia,3,4,1
2002,Bahia,3,146,1
2003,Bahia,3,274,1
2004,Bahia,3,115,1
2005,Bahia,3,158,1
2006,Bahia,3,199,1
2007,Bahia,3,141,1
2008,Bahia,3,135,1
2009,Bahia,3,249,1
2010,Bahia,3,156,1
2011,Bahia,3,90,1
2012,Bahia,3,404,1
2013,Bahia,3,363,1
2014,Bahia,3,148,1
2015,Bahia,3,229,1
2016,Bahia,3,281,1
2017,Bahia,3,163,1
1998,Bahia,4,0,1
1999,Bahia,4,55,1
2000,Bahia,4,23,1
2001,Bahia,4,26,1
2002,Bahia,4,110,1
2003,Bahia,4,376,1
2004,Bahia,4,89,1
2005,Bahia,4,76,1
2006,Bahia,4,60,1
2007,Bahia,4,64,1
2008,Bahia,4,151,1
2009,Bahia,4,40,1
2010,Bahia,4,103,1
2011,Bahia,4,149,1
2012,Bahia,4,396,1
2013,Bahia,4,108,1
2014,Bahia,4,183,1
2015,Bahia,4,190,1
2016,Bahia,4,217,1
2017,Bahia,4,94,1
1998,Bahia,5,0,1
1999,Bahia,5,76,1
2000,Bahia,5,71,1
2001,Bahia,5,85,1
2002,Bahia,5,166,1
2003,Bahia,5,106,1
2004,Bahia,5,124,1
2005,Bahia,5,120,1
2006,Bahia,5,43,1
2007,Bahia,5,161,1
2008,Bahia,5,56,1
2009,Bahia,5,34,1
2010,Bahia,5,198,1
2011,Bahia,5,189,1
2012,Bahia,5,326,1
2013,Bahia,5,141,1
2014,Bahia,5,224,1
2015,Bahia,5,144,1
2016,Bahia,5,259,1
2017,Bahia,5,121,1
1998,Bahia,6,55,1
1999,Bahia,6,64,1
2000,Bahia,6,178,1
2001,Bahia,6,98,1
2002,Bahia,6,118,1
2003,Bahia,6,140,1
2004,Bahia,6,289,1
2005,Bahia,6,211,1
2006,Bahia,6,68,1
2007,Bahia,6,270,1
2008,Bahia,6,72,1
2009,Bahia,6,92,1
2010,Bahia,6,192,1
2011,Bahia,6,345,1
2012,Bahia,6,385,1
2013,Bahia,6,208,1
2014,Bahia,6,243,1
2015,Bahia,6,242,1
2016,Bahia,6,416,1
2017,Bahia,6,329,1
1998,Bahia,7,219,1
1999,Bahia,7,107,1
2000,Bahia,7,202,1
2001,Bahia,7,248,1
2002,Bahia,7,549,1
2003,Bahia,7,261,1
2004,Bahia,7,310,1
2005,Bahia,7,269,1
2006,Bahia,7,229,1
2007,Bahia,7,811,1
2008,Bahia,7,271,1
2009,Bahia,7,321,1
2010,Bahia,7,519,1
2011,Bahia,7,578,1
2012,Bahia,7,906,1
2013,Bahia,7,362,1
2014,Bahia,7,249,1
2015,Bahia,7,306,1
2016,Bahia,7,345,1
2017,Bahia,7,300,1
1998,Bahia,8,815,1
1999,Bahia,8,453,1
2000,Bahia,8,633,1
2001,Bahia,8,979,1
2002,Bahia,8,1827,1
2003,Bahia,8,1039,1
2004,Bahia,8,1430,1
2005,Bahia,8,948,1
2006,Bahia,8,995,1
2007,Bahia,8,3734,1
2008,Bahia,8,611,1
2009,Bahia,8,439,1
2010,Bahia,8,2423,1
2011,Bahia,8,1795,1
2012,Bahia,8,1835,1
2013,Bahia,8,610,1
2014,Bahia,8,674,1
2015,Bahia,8,829,1
2016,Bahia,8,724,1
2017,Bahia,8,1018,1
1998,Bahia,9,2718,1
1999,Bahia,9,1275,1
2000,Bahia,9,2285,1
2001,Bahia,9,3964,1
2002,Bahia,9,6439,1
2003,Bahia,9,8847,1
2004,Bahia,9,6433,1
2005,Bahia,9,4066,1
2006,Bahia,9,3006,1
2007,Bahia,9,7438,1
2008,Bahia,9,4837,1
2009,Bahia,9,3610,1
2010,Bahia,9,5322,1
2011,Bahia,9,7086,1
2012,Bahia,9,7495,1
2013,Bahia,9,2681,1
2014,Bahia,9,2603,1
2015,Bahia,9,7956,1
2016,Bahia,9,1819,1
2017,Bahia,9,1791,1
1998,Bahia,10,1969,1
1999,Bahia,10,1307,1
2000,Bahia,10,3350,1
2001,Bahia,10,1686,1
2002,Bahia,10,5414,1
2003,Bahia,10,4263,1
2004,Bahia,10,4810,1
2005,Bahia,10,8405,1
2006,Bahia,10,2079,1
2007,Bahia,10,4981,1
2008,Bahia,10,7691,1
2009,Bahia,10,2552,1
2010,Bahia,10,5263,1
2011,Bahia,10,2166,1
2012,Bahia,10,4607,1
2013,Bahia,10,1969,1
2014,Bahia,10,2763,1
2015,Bahia,10,4989,1
2016,Bahia,10,1415,1
2017,Bahia,10,4005,1
1998,Bahia,11,49,1
1999,Bahia,11,49,1
2000,Bahia,11,114,1
2001,Bahia,11,699,1
2002,Bahia,11,1020,1
2003,Bahia,11,533,1
2004,Bahia,11,1736,1
2005,Bahia,11,1595,1
2006,Bahia,11,239,1
2007,Bahia,11,2126,1
2008,Bahia,11,3175,1
2009,Bahia,11,402,1
2010,Bahia,11,605,1
2011,Bahia,11,176,1
2012,Bahia,11,168,1
2013,Bahia,11,288,1
2014,Bahia,11,348,1
2015,Bahia,11,1705,1
2016,Bahia,11,408,1
2017,Bahia,11,174,1
1998,Bahia,12,82,1
1999,Bahia,12,37,1
2000,Bahia,12,24,1
2001,Bahia,12,158,1
2002,Bahia,12,848,1
2003,Bahia,12,710,1
2004,Bahia,12,423,1
2005,Bahia,12,116,1
2006,Bahia,12,169,1
2007,Bahia,12,259,1
2008,Bahia,12,52,1
2009,Bahia,12,308,1
2010,Bahia,12,226,1
2011,Bahia,12,230,1
2012,Bahia,12,477,1
2013,Bahia,12,131,1
2014,Bahia,12,144,1
2015,Bahia,12,1408,1
2016,Bahia,12,164,1
1998,Ceara,1,0,1
1999,Ceara,1,47,1
2000,Ceara,1,1,1
2001,Ceara,1,11,1
2002,Ceara,1,33,1
2003,Ceara,1,264,1
2004,Ceara,1,143,1
2005,Ceara,1,384,1
2006,Ceara,1,211,1
2007,Ceara,1,304,1
2008,Ceara,1,166,1
2009,Ceara,1,347,1
2010,Ceara,1,288,1
2011,Ceara,1,32,1
2012,Ceara,1,273,1
2013,Ceara,1,103,1
2014,Ceara,1,115,1
2015,Ceara,1,207,1
2016,Ceara,1,100,1
2017,Ceara,1,91,1
1998,Ceara,2,0,1
1999,Ceara,2,16,1
2000,Ceara,2,6,1
2001,Ceara,2,0,1
2002,Ceara,2,75,1
2003,Ceara,2,9,1
2004,Ceara,2,5,1
2005,Ceara,2,25,1
2006,Ceara,2,23,1
2007,Ceara,2,3,1
2008,Ceara,2,12,1
2009,Ceara,2,8,1
2010,Ceara,2,63,1
2011,Ceara,2,2,1
2012,Ceara,2,41,1
2013,Ceara,2,49,1
2014,Ceara,2,18,1
2015,Ceara,2,25,1
2016,Ceara,2,13,1
2017,Ceara,2,9,1
1998,Ceara,3,0,1
1999,Ceara,3,30,1
2000,Ceara,3,9,1
2001,Ceara,3,0,1
2002,Ceara,3,17,1
2003,Ceara,3,3,1
2004,Ceara,3,1,1
2005,Ceara,3,5,1
2006,Ceara,3,3,1
2007,Ceara,3,2,1
2008,Ceara,3,2,1
2009,Ceara,3,3,1
2010,Ceara,3,40,1
2011,Ceara,3,6,1
2012,Ceara,3,10,1
2013,Ceara,3,17,1
2014,Ceara,3,6,1
2015,Ceara,3,20,1
2016,Ceara,3,4,1
2017,Ceara,3,4,1
1998,Ceara,4,0,1
1999,Ceara,4,6,1
2000,Ceara,4,15,1
2001,Ceara,4,2,1
2002,Ceara,4,5,1
2003,Ceara,4,3,1
2004,Ceara,4,2,1
2005,Ceara,4,4,1
2006,Ceara,4,1,1
2007,Ceara,4,1,1
2008,Ceara,4,0,1
2009,Ceara,4,0,1
2010,Ceara,4,7,1
2011,Ceara,4,1,1
2012,Ceara,4,2,1
2013,Ceara,4,4,1
2014,Ceara,4,4,1
2015,Ceara,4,3,1
2016,Ceara,4,10,1
2017,Ceara,4,6,1
1998,Ceara,5,0,1
1999,Ceara,5,5,1
2000,Ceara,5,7,1
2001,Ceara,5,81,1
2002,Ceara,5,10,1
2003,Ceara,5,0,1
2004,Ceara,5,3,1
2005,Ceara,5,1,1
2006,Ceara,5,0,1
2007,Ceara,5,0,1
2008,Ceara,5,0,1
2009,Ceara,5,0,1
2010,Ceara,5,2,1
2011,Ceara,5,0,1
2012,Ceara,5,19,1
2013,Ceara,5,4,1
2014,Ceara,5,4,1
2015,Ceara,5,17,1
2016,Ceara,5,8,1
2017,Ceara,5,9,1
1998,Ceara,6,1,1
1999,Ceara,6,16,1
2000,Ceara,6,16,1
2001,Ceara,6,38,1
2002,Ceara,6,13,1
2003,Ceara,6,2,1
2004,Ceara,6,1,1
2005,Ceara,6,6,1
2006,Ceara,6,0,1
2007,Ceara,6,1,1
2008,Ceara,6,1,1
2009,Ceara,6,0,1
2010,Ceara,6,3,1
2011,Ceara,6,5,1
2012,Ceara,6,28,1
2013,Ceara,6,5,1
2014,Ceara,6,19,1
2015,Ceara,6,22,1
2016,Ceara,6,45,1
2017,Ceara,6,23,1
1998,Ceara,7,76,1
1999,Ceara,7,83,1
2000,Ceara,7,18,1
2001,Ceara,7,146,1
2002,Ceara,7,12,1
2003,Ceara,7,14,1
2004,Ceara,7,16,1
2005,Ceara,7,14,1
2006,Ceara,7,1,1
2007,Ceara,7,11,1
2008,Ceara,7,3,1
2009,Ceara,7,7,1
2010,Ceara,7,44,1
2011,Ceara,7,18,1
2012,Ceara,7,50,1
2013,Ceara,7,4,1
2014,Ceara,7,47,1
2015,Ceara,7,25,1
2016,Ceara,7,124,1
2017,Ceara,7,26,1
1998,Ceara,8,93,1
1999,Ceara,8,131,1
2000,Ceara,8,79,1
2001,Ceara,8,219,1
2002,Ceara,8,111,1
2003,Ceara,8,109,1
2004,Ceara,8,61,1
2005,Ceara,8,51,1
2006,Ceara,8,50,1
2007,Ceara,8,182,1
2008,Ceara,8,32,1
2009,Ceara,8,26,1
2010,Ceara,8,202,1
2011,Ceara,8,53,1
2012,Ceara,8,278,1
2013,Ceara,8,32,1
2014,Ceara,8,155,1
2015,Ceara,8,127,1
2016,Ceara,8,293,1
2017,Ceara,8,121,1
1998,Ceara,9,590,1
1999,Ceara,9,124,1
2000,Ceara,9,127,1
2001,Ceara,9,801,1
2002,Ceara,9,172,1
2003,Ceara,9,384,1
2004,Ceara,9,144,1
2005,Ceara,9,185,1
2006,Ceara,9,237,1
2007,Ceara,9,241,1
2008,Ceara,9,177,1
2009,Ceara,9,101,1
2010,Ceara,9,357,1
2011,Ceara,9,239,1
2012,Ceara,9,609,1
2013,Ceara,9,177,1
2014,Ceara,9,155,1
2015,Ceara,9,214,1
2016,Ceara,9,370,1
2017,Ceara,9,505,1
1998,Ceara,10,1014,1
1999,Ceara,10,309,1
2000,Ceara,10,875,1
2001,Ceara,10,2045,1
2002,Ceara,10,1605,1
2003,Ceara,10,1761,1
2004,Ceara,10,1217,1
2005,Ceara,10,1378,1
2006,Ceara,10,581,1
2007,Ceara,10,964,1
2008,Ceara,10,816,1
2009,Ceara,10,435,1
2010,Ceara,10,502,1
2011,Ceara,10,415,1
2012,Ceara,10,1104,1
2013,Ceara,10,466,1
2014,Ceara,10,517,1
2015,Ceara,10,658,1
2016,Ceara,10,1310,1
2017,Ceara,10,949,1
1998,Ceara,11,575,1
1999,Ceara,11,524,1
2000,Ceara,11,669,1
2001,Ceara,11,2456,1
2002,Ceara,11,2715,1
2003,Ceara,11,3327,1
2004,Ceara,11,2900,1
2005,Ceara,11,2483,1
2006,Ceara,11,1012,1
2007,Ceara,11,1443,1
2008,Ceara,11,1753,1
2009,Ceara,11,1653,1
2010,Ceara,11,1652,1
2011,Ceara,11,1561,1
2012,Ceara,11,995,1
2013,Ceara,11,1081,1
2014,Ceara,11,829,1
2015,Ceara,11,1081,1
2016,Ceara,11,1328,1
2017,Ceara,11,812,1
1998,Ceara,12,276,1
1999,Ceara,12,397,1
2000,Ceara,12,389,1
2001,Ceara,12,545,1
2002,Ceara,12,1787,1
2003,Ceara,12,2436,1
2004,Ceara,12,3158,1
2005,Ceara,12,1360,1
2006,Ceara,12,1161,1
2007,Ceara,12,1177,1
2008,Ceara,12,1655,1
2009,Ceara,12,1986,1
2010,Ceara,12,578,1
2011,Ceara,12,1440,1
2012,Ceara,12,631,1
2013,Ceara,12,956,1
2014,Ceara,12,643,1
2015,Ceara,12,1020,1
2016,Ceara,12,819,1
1998,Distrito Federal,1,0,1
1999,Distrito Federal,1,0,1
2000,Distrito Federal,1,0,1
2001,Distrito Federal,1,0,1
2002,Distrito Federal,1,0,1
2003,Distrito Federal,1,0,1
2004,Distrito Federal,1,0,1
2005,Distrito Federal,1,0,1
2006,Distrito Federal,1,0,1
2007,Distrito Federal,1,0,1
2008,Distrito Federal,1,0,1
2009,Distrito Federal,1,1,1
2010,Distrito Federal,1,2,1
2011,Distrito Federal,1,2,1
2012,Distrito Federal,1,0,1
2013,Distrito Federal,1,0,1
2014,Distrito Federal,1,0,1
2015,Distrito Federal,1,1,1
2016,Distrito Federal,1,1,1
2017,Distrito Federal,1,1,1
1998,Distrito Federal,2,0,1
1999,Distrito Federal,2,2,1
2000,Distrito Federal,2,0,1
2001,Distrito Federal,2,1,1
2002,Distrito Federal,2,0,1
2003,Distrito Federal,2,1,1
2004,Distrito Federal,2,0,1
2005,Distrito Federal,2,0,1
2006,Distrito Federal,2,0,1
2007,Distrito Federal,2,0,1
2008,Distrito Federal,2,0,1
2009,Distrito Federal,2,0,1
2010,Distrito Federal,2,4,1
2011,Distrito Federal,2,1,1
2012,Distrito Federal,2,0,1
2013,Distrito Federal,2,1,1
2014,Distrito Federal,2,1,1
2015,Distrito Federal,2,0,1
2016,Distrito Federal,2,2,1
2017,Distrito Federal,2,0,1
1998,Distrito Federal,3,0,1
1999,Distrito Federal,3,0,1
2000,Distrito Federal,3,0,1
2001,Distrito Federal,3,0,1
2002,Distrito Federal,3,0,1
2003,Distrito Federal,3,0,1
2004,Distrito Federal,3,0,1
2005,Distrito Federal,3,0,1
2006,Distrito Federal,3,0,1
2007,Distrito Federal,3,1,1
2008,Distrito Federal,3,2,1
2009,Distrito Federal,3,0,1
2010,Distrito Federal,3,0,1
2011,Distrito Federal,3,0,1
2012,Distrito Federal,3,0,1
2013,Distrito Federal,3,1,1
2014,Distrito Federal,3,1,1
2015,Distrito Federal,3,0,1
2016,Distrito Federal,3,1,1
2017,Distrito Federal,3,0,1
1998,Distrito Federal,4,0,1
1999,Distrito Federal,4,0,1
2000,Distrito Federal,4,0,1
2001,Distrito Federal,4,0,1
2002,Distrito Federal,4,1,1
2003,Distrito Federal,4,0,1
2004,Distrito Federal,4,1,1
2005,Distrito Federal,4,0,1
2006,Distrito Federal,4,0,1
2007,Distrito Federal,4,0,1
2008,Distrito Federal,4,1,1
2009,Distrito Federal,4,0,1
2010,Distrito Federal,4,8,1
2011,Distrito Federal,4,1,1
2012,Distrito Federal,4,4,1
2013,Distrito Federal,4,1,1
2014,Distrito Federal,4,2,1
2015,Distrito Federal,4,0,1
2016,Distrito Federal,4,5,1
2017,Distrito Federal,4,1,1
1998,Distrito Federal,5,0,1
1999,Distrito Federal,5,0,1
2000,Distrito Federal,5,2,1
2001,Distrito Federal,5,0,1
2002,Distrito Federal,5,1,1
2003,Distrito Federal,5,0,1
2004,Distrito Federal,5,9,1
2005,Distrito Federal,5,2,1
2006,Distrito Federal,5,3,1
2007,Distrito Federal,5,4,1
2008,Distrito Federal,5,6,1
2009,Distrito Federal,5,9,1
2010,Distrito Federal,5,23,1
2011,Distrito Federal,5,3,1
2012,Distrito Federal,5,0,1
2013,Distrito Federal,5,2,1
2014,Distrito Federal,5,9,1
2015,Distrito Federal,5,2,1
2016,Distrito Federal,5,15,1
2017,Distrito Federal,5,6,1
1998,Distrito Federal,6,2,1
1999,Distrito Federal,6,3,1
2000,Distrito Federal,6,1,1
2001,Distrito Federal,6,3,1
2002,Distrito Federal,6,7,1
2003,Distrito Federal,6,11,1
2004,Distrito Federal,6,6,1
2005,Distrito Federal,6,3,1
2006,Distrito Federal,6,2,1
2007,Distrito Federal,6,21,1
2008,Distrito Federal,6,0,1
2009,Distrito Federal,6,4,1
2010,Distrito Federal,6,21,1
2011,Distrito Federal,6,18,1
2012,Distrito Federal,6,6,1
2013,Distrito Federal,6,4,1
2014,Distrito Federal,6,6,1
2015,Distrito Federal,6,1,1
2016,Distrito Federal,6,42,1
2017,Distrito Federal,6,23,1
1998,Distrito Federal,7,17,1
1999,Distrito Federal,7,4,1
2000,Distrito Federal,7,15,1
2001,Distrito Federal,7,22,1
2002,Distrito Federal,7,33,1
2003,Distrito Federal,7,19,1
2004,Distrito Federal,7,37,1
2005,Distrito Federal,7,24,1
2006,Distrito Federal,7,10,1
2007,Distrito Federal,7,25,1
2008,Distrito Federal,7,12,1
2009,Distrito Federal,7,33,1
2010,Distrito Federal,7,85,1
2011,Distrito Federal,7,53,1
2012,Distrito Federal,7,29,1
2013,Distrito Federal,7,22,1
2014,Distrito Federal,7,27,1
2015,Distrito Federal,7,15,1
2016,Distrito Federal,7,79,1
2017,Distrito Federal,7,44,1
1998,Distrito Federal,8,48,1
1999,Distrito Federal,8,16,1
2000,Distrito Federal,8,9,1
2001,Distrito Federal,8,25,1
2002,Distrito Federal,8,53,1
2003,Distrito Federal,8,36,1
2004,Distrito Federal,8,108,1
2005,Distrito Federal,8,20,1
2006,Distrito Federal,8,40,1
2007,Distrito Federal,8,137,1
2008,Distrito Federal,8,30,1
2009,Distrito Federal,8,37,1
2010,Distrito Federal,8,159,1
2011,Distrito Federal,8,61,1
2012,Distrito Federal,8,55,1
2013,Distrito Federal,8,34,1
2014,Distrito Federal,8,99,1
2015,Distrito Federal,8,53,1
2016,Distrito Federal,8,29,1
2017,Distrito Federal,8,147,1
1998,Distrito Federal,9,33,1
1999,Distrito Federal,9,12,1
2000,Distrito Federal,9,3,1
2001,Distrito Federal,9,12,1
2002,Distrito Federal,9,33,1
2003,Distrito Federal,9,17,1
2004,Distrito Federal,9,100,1
2005,Distrito Federal,9,23,1
2006,Distrito Federal,9,20,1
2007,Distrito Federal,9,73,1
2008,Distrito Federal,9,54,1
2009,Distrito Federal,9,5,1
2010,Distrito Federal,9,196,1
2011,Distrito Federal,9,133,1
2012,Distrito Federal,9,64,1
2013,Distrito Federal,9,31,1
2014,Distrito Federal,9,72,1
2015,Distrito Federal,9,76,1
2016,Distrito Federal,9,58,1
2017,Distrito Federal,9,122,1
1998,Distrito Federal,10,3,1
1999,Distrito Federal,10,8,1
2000,Distrito Federal,10,18,1
2001,Distrito Federal,10,0,1
2002,Distrito Federal,10,19,1
2003,Distrito Federal,10,12,1
2004,Distrito Federal,10,18,1
2005,Distrito Federal,10,18,1
2006,Distrito Federal,10,1,1
2007,Distrito Federal,10,13,1
2008,Distrito Federal,10,6,1
2009,Distrito Federal,10,3,1
2010,Distrito Federal,10,6,1
2011,Distrito Federal,10,0,1
2012,Distrito Federal,10,15,1
2013,Distrito Federal,10,3,1
2014,Distrito Federal,10,34,1
2015,Distrito Federal,10,21,1
2016,Distrito Federal,10,9,1
2017,Distrito Federal,10,66,1
1998,Distrito Federal,11,0,1
1999,Distrito Federal,11,1,1
2000,Distrito Federal,11,0,1
2001,Distrito Federal,11,0,1
2002,Distrito Federal,11,1,1
2003,Distrito Federal,11,0,1
2004,Distrito Federal,11,0,1
2005,Distrito Federal,11,2,1
2006,Distrito Federal,11,0,1
2007,Distrito Federal,11,0,1
2008,Distrito Federal,11,4,1
2009,Distrito Federal,11,0,1
2010,Distrito Federal,11,0,1
2011,Distrito Federal,11,1,1
2012,Distrito Federal,11,0,1
2013,Distrito Federal,11,0,1
2014,Distrito Federal,11,0,1
2015,Distrito Federal,11,3,1
2016,Distrito Federal,11,1,1
2017,Distrito Federal,11,0,1
1998,Distrito Federal,12,0,1
1999,Distrito Federal,12,0,1
2000,Distrito Federal,12,0,1
2001,Distrito Federal,12,1,1
2002,Distrito Federal,12,1,1
2003,Distrito Federal,12,0,1
2004,Distrito Federal,12,0,1
2005,Distrito Federal,12,0,1
2006,Distrito Federal,12,0,1
2007,Distrito Federal,12,0,1
2008,Distrito Federal,12,0,1
2009,Distrito Federal,12,0,1
2010,Distrito Federal,12,1,1
2011,Distrito Federal,12,0,1
2012,Distrito Federal,12,0,1
2013,Distrito Federal,12,2,1
2014,Distrito Federal,12,0,1
2015,Distrito Federal,12,0,1
2016,Distrito Federal,12,0,1
1998,Espirito Santo,1,0,1
1999,Espirito Santo,1,33,1
2000,Espirito Santo,1,5,1
2001,Espirito Santo,1,1,1
2002,Espirito Santo,1,2,1
2003,Espirito Santo,1,4,1
2004,Espirito Santo,1,1,1
2005,Espirito Santo,1,4,1
2006,Espirito Santo,1,13,1
2007,Espirito Santo,1,0,1
2008,Espirito Santo,1,12,1
2009,Espirito Santo,1,4,1
2010,Espirito Santo,1,52,1
2011,Espirito Santo,1,3,1
2012,Espirito Santo,1,1,1
2013,Espirito Santo,1,10,1
2014,Espirito Santo,1,11,1
2015,Espirito Santo,1,76,1
2016,Espirito Santo,1,43,1
2017,Espirito Santo,1,13,1
1998,Espirito Santo,2,0,1
1999,Espirito Santo,2,10,1
2000,Espirito Santo,2,5,1
2001,Espirito Santo,2,5,1
2002,Espirito Santo,2,4,1
2003,Espirito Santo,2,11,1
2004,Espirito Santo,2,5,1
2005,Espirito Santo,2,1,1
2006,Espirito Santo,2,45,1
2007,Espirito Santo,2,3,1
2008,Espirito Santo,2,20,1
2009,Espirito Santo,2,12,1
2010,Espirito Santo,2,15,1
2011,Espirito Santo,2,42,1
2012,Espirito Santo,2,25,1
2013,Espirito Santo,2,15,1
2014,Espirito Santo,2,17,1
2015,Espirito Santo,2,60,1
2016,Espirito Santo,2,24,1
2017,Espirito Santo,2,8,1
1998,Espirito Santo,3,0,1
1999,Espirito Santo,3,8,1
2000,Espirito Santo,3,1,1
2001,Espirito Santo,3,2,1
2002,Espirito Santo,3,4,1
2003,Espirito Santo,3,28,1
2004,Espirito Santo,3,3,1
2005,Espirito Santo,3,3,1
2006,Espirito Santo,3,14,1
2007,Espirito Santo,3,9,1
2008,Espirito Santo,3,5,1
2009,Espirito Santo,3,11,1
2010,Espirito Santo,3,3,1
2011,Espirito Santo,3,5,1
2012,Espirito Santo,3,35,1
2013,Espirito Santo,3,13,1
2014,Espirito Santo,3,15,1
2015,Espirito Santo,3,25,1
2016,Espirito Santo,3,107,1
2017,Espirito Santo,3,9,1
1998,Espirito Santo,4,0,1
1999,Espirito Santo,4,2,1
2000,Espirito Santo,4,3,1
2001,Espirito Santo,4,2,1
2002,Espirito Santo,4,2,1
2003,Espirito Santo,4,22,1
2004,Espirito Santo,4,0,1
2005,Espirito Santo,4,4,1
2006,Espirito Santo,4,1,1
2007,Espirito Santo,4,2,1
2008,Espirito Santo,4,8,1
2009,Espirito Santo,4,8,1
2010,Espirito Santo,4,7,1
2011,Espirito Santo,4,3,1
2012,Espirito Santo,4,74,1
2013,Espirito Santo,4,16,1
2014,Espirito Santo,4,15,1
2015,Espirito Santo,4,33,1
2016,Espirito Santo,4,57,1
2017,Espirito Santo,4,7,1
1998,Espirito Santo,5,0,1
1999,Espirito Santo,5,16,1
2000,Espirito Santo,5,2,1
2001,Espirito Santo,5,8,1
2002,Espirito Santo,5,5,1
2003,Espirito Santo,5,1,1
2004,Espirito Santo,5,0,1
2005,Espirito Santo,5,5,1
2006,Espirito Santo,5,0,1
2007,Espirito Santo,5,1,1
2008,Espirito Santo,5,2,1
2009,Espirito Santo,5,7,1
2010,Espirito Santo,5,3,1
2011,Espirito Santo,5,2,1
2012,Espirito Santo,5,20,1
2013,Espirito Santo,5,14,1
2014,Espirito Santo,5,18,1
2015,Espirito Santo,5,17,1
2016,Espirito Santo,5,48,1
2017,Espirito Santo,5,10,1
1998,Espirito Santo,6,6,1
1999,Espirito Santo,6,6,1
2000,Espirito Santo,6,9,1
2001,Espirito Santo,6,9,1
2002,Espirito Santo,6,18,1
2003,Espirito Santo,6,19,1
2004,Espirito Santo,6,3,1
2005,Espirito Santo,6,8,1
2006,Espirito Santo,6,5,1
2007,Espirito Santo,6,4,1
2008,Espirito Santo,6,4,1
2009,Espirito Santo,6,12,1
2010,Espirito Santo,6,3,1
2011,Espirito Santo,6,7,1
2012,Espirito Santo,6,15,1
2013,Espirito Santo,6,22,1
2014,Espirito Santo,6,9,1
2015,Espirito Santo,6,18,1
2016,Espirito Santo,6,49,1
2017,Espirito Santo,6,37,1
1998,Espirito Santo,7,37,1
1999,Espirito Santo,7,9,1
2000,Espirito Santo,7,16,1
2001,Espirito Santo,7,12,1
2002,Espirito Santo,7,9,1
2003,Espirito Santo,7,27,1
2004,Espirito Santo,7,4,1
2005,Espirito Santo,7,9,1
2006,Espirito Santo,7,11,1
2007,Espirito Santo,7,13,1
2008,Espirito Santo,7,5,1
2009,Espirito Santo,7,25,1
2010,Espirito Santo,7,5,1
2011,Espirito Santo,7,18,1
2012,Espirito Santo,7,35,1
2013,Espirito Santo,7,20,1
2014,Espirito Santo,7,17,1
2015,Espirito Santo,7,30,1
2016,Espirito Santo,7,42,1
2017,Espirito Santo,7,3,1
1998,Espirito Santo,8,38,1
1999,Espirito Santo,8,60,1
2000,Espirito Santo,8,26,1
2001,Espirito Santo,8,30,1
2002,Espirito Santo,8,60,1
2003,Espirito Santo,8,118,1
2004,Espirito Santo,8,12,1
2005,Espirito Santo,8,12,1
2006,Espirito Santo,8,29,1
2007,Espirito Santo,8,82,1
2008,Espirito Santo,8,13,1
2009,Espirito Santo,8,17,1
2010,Espirito Santo,8,39,1
2011,Espirito Santo,8,93,1
2012,Espirito Santo,8,12,1
2013,Espirito Santo,8,53,1
2014,Espirito Santo,8,47,1
2015,Espirito Santo,8,35,1
2016,Espirito Santo,8,78,1
2017,Espirito Santo,8,30,1
1998,Espirito Santo,9,108,1
1999,Espirito Santo,9,64,1
2000,Espirito Santo,9,14,1
2001,Espirito Santo,9,38,1
2002,Espirito Santo,9,46,1
2003,Espirito Santo,9,252,1
2004,Espirito Santo,9,47,1
2005,Espirito Santo,9,8,1
2006,Espirito Santo,9,87,1
2007,Espirito Santo,9,63,1
2008,Espirito Santo,9,78,1
2009,Espirito Santo,9,57,1
2010,Espirito Santo,9,53,1
2011,Espirito Santo,9,108,1
2012,Espirito Santo,9,48,1
2013,Espirito Santo,9,30,1
2014,Espirito Santo,9,61,1
2015,Espirito Santo,9,228,1
2016,Espirito Santo,9,128,1
2017,Espirito Santo,9,58,1
1998,Espirito Santo,10,20,1
1999,Espirito Santo,10,23,1
2000,Espirito Santo,10,88,1
2001,Espirito Santo,10,19,1
2002,Espirito Santo,10,113,1
2003,Espirito Santo,10,159,1
2004,Espirito Santo,10,48,1
2005,Espirito Santo,10,62,1
2006,Espirito Santo,10,10,1
2007,Espirito Santo,10,79,1
2008,Espirito Santo,10,100,1
2009,Espirito Santo,10,13,1
2010,Espirito Santo,10,32,1
2011,Espirito Santo,10,38,1
2012,Espirito Santo,10,62,1
2013,Espirito Santo,10,37,1
2014,Espirito Santo,10,89,1
2015,Espirito Santo,10,307,1
